epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,15504.8,0.49594,0.4041,0.85848,0.74738,0.73073,0.73509,0.66505,0.38339,0.51089,0.85824,0.001783,0.001783,0.001783
168,15597.4,0.49599,0.40415,0.85765,0.76685,0.72174,0.7376,0.66868,0.38414,0.51052,0.85831,0.0017335,0.0017335,0.0017335
169,15690.1,0.4935,0.39767,0.85772,0.7293,0.73744,0.74035,0.66831,0.38363,0.51046,0.85698,0.001684,0.001684,0.001684
170,15782.7,0.50046,0.40346,0.86202,0.67973,0.7612,0.74018,0.67016,0.38434,0.51288,0.85715,0.0016345,0.0016345,0.0016345
171,15875.4,0.4917,0.39678,0.85606,0.67988,0.76166,0.74224,0.67385,0.38267,0.50846,0.85728,0.001585,0.001585,0.001585
172,15968,0.49837,0.39695,0.86127,0.68068,0.76426,0.73896,0.6708,0.38137,0.51495,0.85723,0.0015355,0.0015355,0.0015355
173,16061.1,0.49063,0.3906,0.85721,0.68302,0.76825,0.73901,0.67055,0.38128,0.51934,0.85702,0.001486,0.001486,0.001486
174,16153.8,0.49512,0.39608,0.85862,0.68932,0.76069,0.7385,0.66947,0.38071,0.51984,0.85662,0.0014365,0.0014365,0.0014365
175,16246.6,0.48755,0.39155,0.8597,0.68825,0.7602,0.73779,0.66867,0.38023,0.52103,0.85671,0.001387,0.001387,0.001387
176,16339.3,0.48634,0.37879,0.85189,0.68744,0.76481,0.73567,0.66693,0.38094,0.52256,0.85669,0.0013375,0.0013375,0.0013375
177,16431.9,0.48879,0.38806,0.85726,0.69081,0.76357,0.73715,0.66902,0.38081,0.52323,0.85628,0.001288,0.001288,0.001288
178,16524.6,0.49529,0.3896,0.85676,0.69344,0.76147,0.73729,0.66986,0.37998,0.5257,0.85566,0.0012385,0.0012385,0.0012385
179,16617.3,0.48759,0.38958,0.85695,0.69031,0.75561,0.73535,0.66694,0.38108,0.52575,0.85611,0.001189,0.001189,0.001189
180,16710.2,0.48051,0.37773,0.85503,0.69766,0.74884,0.73633,0.66841,0.37946,0.52365,0.85548,0.0011395,0.0011395,0.0011395
181,16803,0.48083,0.38398,0.85206,0.69145,0.75931,0.73745,0.66971,0.38043,0.5258,0.85582,0.00109,0.00109,0.00109
