epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,3627.91,0.63418,0.58234,0.89145,0.74288,0.67651,0.69762,0.61591,0.43639,0.62331,0.85318,0.0053965,0.0053965,0.0053965
95,3664.72,0.63732,0.5862,0.89482,0.71244,0.72721,0.72682,0.64015,0.42668,0.53084,0.8509,0.005347,0.005347,0.005347
96,3701.58,0.62644,0.58186,0.88954,0.76586,0.68182,0.70411,0.61006,0.44399,0.55557,0.85676,0.0052975,0.0052975,0.0052975
97,3737.68,0.63604,0.57133,0.89528,0.75369,0.70981,0.72019,0.6231,0.44515,0.54363,0.85622,0.005248,0.005248,0.005248
98,3774.35,0.63129,0.57969,0.89368,0.65342,0.73259,0.71393,0.62492,0.43944,0.56878,0.85617,0.0051985,0.0051985,0.0051985
99,3811.42,0.63044,0.55902,0.89747,0.75566,0.71298,0.68258,0.60376,0.43712,0.65606,0.85711,0.005149,0.005149,0.005149
100,3848.52,0.61755,0.57026,0.88793,0.70863,0.75147,0.70891,0.6231,0.43609,0.57403,0.85364,0.0050995,0.0050995,0.0050995
101,3885.13,0.62597,0.57635,0.89082,0.64728,0.6988,0.64844,0.55928,0.46184,0.69226,0.86662,0.00505,0.00505,0.00505
102,3921.91,0.62708,0.5673,0.89146,0.80459,0.71005,0.71528,0.62907,0.43844,0.56149,0.85843,0.0050005,0.0050005,0.0050005
103,3958.56,0.61429,0.56287,0.88815,0.71666,0.73802,0.68638,0.59956,0.43876,0.59162,0.85723,0.004951,0.004951,0.004951
104,3996.39,0.6243,0.5721,0.89041,0.68635,0.70352,0.69877,0.60356,0.45849,0.59109,0.86784,0.0049015,0.0049015,0.0049015
105,4033.82,0.6223,0.56153,0.89335,0.77906,0.69921,0.68809,0.59162,0.46018,0.60566,0.86473,0.004852,0.004852,0.004852
106,4071.29,0.62552,0.56118,0.8919,0.72825,0.71245,0.70049,0.60389,0.45077,0.58486,0.86199,0.0048025,0.0048025,0.0048025
107,4108.46,0.62221,0.55622,0.88992,0.75041,0.71723,0.72369,0.63792,0.42456,0.54087,0.85027,0.004753,0.004753,0.004753
108,4144.95,0.61946,0.56201,0.88762,0.72708,0.6877,0.70311,0.60548,0.44961,0.59789,0.86304,0.0047035,0.0047035,0.0047035
109,4182.17,0.61174,0.56394,0.8851,0.76403,0.71424,0.73682,0.63869,0.44723,0.53424,0.86199,0.004654,0.004654,0.004654
110,4219.17,0.61521,0.55793,0.88628,0.73958,0.71247,0.71841,0.62914,0.43202,0.54211,0.8536,0.0046045,0.0046045,0.0046045
111,4256.39,0.6035,0.55983,0.88422,0.74208,0.7404,0.72312,0.63227,0.43586,0.55302,0.85481,0.004555,0.004555,0.004555
112,4293.65,0.62797,0.56017,0.88947,0.65271,0.74705,0.72079,0.62981,0.43555,0.54561,0.85694,0.0045055,0.0045055,0.0045055
113,4332.04,0.6034,0.5521,0.88304,0.75006,0.73265,0.72526,0.6376,0.43216,0.55208,0.85482,0.004456,0.004456,0.004456
114,4369.39,0.60971,0.56072,0.88616,0.60091,0.72074,0.64569,0.54519,0.53336,0.67979,0.87947,0.0044065,0.0044065,0.0044065
115,4406.57,0.61339,0.5511,0.88489,0.59749,0.73643,0.68305,0.58884,0.44144,0.61263,0.85811,0.004357,0.004357,0.004357
116,4443.61,0.60687,0.54896,0.88373,0.74398,0.71821,0.72079,0.63878,0.41635,0.55004,0.85036,0.0043075,0.0043075,0.0043075
117,4480.64,0.60876,0.54986,0.88897,0.72348,0.72492,0.71641,0.62452,0.4309,0.55179,0.85683,0.004258,0.004258,0.004258
118,4518.49,0.60291,0.55022,0.88475,0.69283,0.7316,0.7024,0.61393,0.43702,0.57606,0.8584,0.0042085,0.0042085,0.0042085
119,4555,0.60701,0.54943,0.88649,0.78524,0.71105,0.71879,0.62919,0.43297,0.54892,0.85454,0.004159,0.004159,0.004159
120,4592.14,0.61331,0.55375,0.88718,0.70202,0.73476,0.70907,0.6197,0.42798,0.57204,0.85267,0.0041095,0.0041095,0.0041095
121,4629.35,0.60984,0.54157,0.88961,0.6632,0.71924,0.67303,0.59406,0.43027,0.60443,0.85506,0.00406,0.00406,0.00406
122,4666.05,0.60639,0.53547,0.8826,0.70653,0.72796,0.68431,0.59577,0.43655,0.59221,0.85784,0.0040105,0.0040105,0.0040105
123,4703.09,0.60326,0.54596,0.88918,0.7958,0.68268,0.69496,0.61006,0.43401,0.59258,0.85528,0.003961,0.003961,0.003961
124,4740.11,0.61148,0.5425,0.88471,0.75652,0.68319,0.70183,0.60991,0.43714,0.57307,0.85707,0.0039115,0.0039115,0.0039115
125,4776.04,0.60464,0.54675,0.8814,0.7616,0.69457,0.71783,0.62144,0.44203,0.56503,0.85982,0.003862,0.003862,0.003862
126,4813.07,0.61029,0.54782,0.8842,0.76609,0.69388,0.71563,0.62597,0.42995,0.55635,0.85335,0.0038125,0.0038125,0.0038125
127,4850.31,0.60702,0.53675,0.88869,0.72506,0.73169,0.71458,0.63333,0.42595,0.53618,0.85508,0.003763,0.003763,0.003763
128,4886.42,0.59206,0.53905,0.88184,0.78802,0.65891,0.69716,0.62108,0.41435,0.56148,0.85142,0.0037135,0.0037135,0.0037135
129,4923.58,0.59921,0.53423,0.88227,0.66294,0.74185,0.6872,0.60583,0.42663,0.58374,0.85731,0.003664,0.003664,0.003664
130,4961.86,0.5969,0.53566,0.88061,0.66545,0.71653,0.68705,0.59983,0.44769,0.59065,0.85827,0.0036145,0.0036145,0.0036145
131,4999.88,0.59488,0.53033,0.88068,0.63114,0.72453,0.67924,0.59765,0.43493,0.59199,0.85423,0.003565,0.003565,0.003565
132,5038.51,0.60598,0.53267,0.88212,0.71979,0.72748,0.70876,0.623,0.43134,0.56427,0.85521,0.0035155,0.0035155,0.0035155
133,5077.09,0.60278,0.54114,0.88451,0.7704,0.71168,0.70894,0.62631,0.42553,0.56273,0.85432,0.003466,0.003466,0.003466
134,5114.7,0.60245,0.52041,0.88293,0.71764,0.73109,0.7168,0.63187,0.43645,0.55454,0.85871,0.0034165,0.0034165,0.0034165
135,5153.49,0.59554,0.52511,0.87958,0.73336,0.73148,0.71975,0.63112,0.43349,0.54906,0.85782,0.003367,0.003367,0.003367
136,5191.86,0.5943,0.52714,0.88347,0.75876,0.71724,0.72264,0.63753,0.42475,0.5405,0.85404,0.0033175,0.0033175,0.0033175
137,5230.98,0.59482,0.52848,0.88388,0.73718,0.71571,0.70404,0.61573,0.43747,0.55608,0.85773,0.003268,0.003268,0.003268
138,5269.72,0.59365,0.52552,0.88184,0.68773,0.7253,0.69381,0.61117,0.43265,0.58706,0.85741,0.0032185,0.0032185,0.0032185
139,5307.15,0.5894,0.5283,0.88009,0.67468,0.72385,0.68412,0.6051,0.42899,0.59106,0.85665,0.003169,0.003169,0.003169
140,5345.21,0.59213,0.51872,0.88181,0.75362,0.70084,0.69564,0.61521,0.42807,0.57921,0.85554,0.0031195,0.0031195,0.0031195
141,5383.35,0.59442,0.52494,0.88047,0.78531,0.6827,0.71393,0.63363,0.42323,0.54523,0.85455,0.00307,0.00307,0.00307
142,5421.55,0.58747,0.52605,0.87836,0.65054,0.77381,0.72187,0.63536,0.41915,0.52995,0.85125,0.0030205,0.0030205,0.0030205
143,5459.46,0.59116,0.51465,0.88045,0.68336,0.72281,0.70253,0.6166,0.42376,0.55033,0.85158,0.002971,0.002971,0.002971
144,5498.6,0.58407,0.50912,0.87743,0.75465,0.69789,0.69456,0.60792,0.43143,0.56474,0.85548,0.0029215,0.0029215,0.0029215
145,5537.55,0.58992,0.51989,0.88019,0.55374,0.76521,0.66529,0.58157,0.42699,0.59825,0.8527,0.002872,0.002872,0.002872
146,5576.46,0.58541,0.51214,0.88273,0.68708,0.70699,0.69514,0.60867,0.42266,0.5713,0.85315,0.0028225,0.0028225,0.0028225
147,5615.74,0.58031,0.51356,0.8774,0.5956,0.76633,0.70033,0.6109,0.42494,0.55254,0.85435,0.002773,0.002773,0.002773
148,5654.32,0.58287,0.50037,0.87396,0.59741,0.7572,0.6897,0.60058,0.4244,0.56006,0.85427,0.0027235,0.0027235,0.0027235
149,5693.37,0.57904,0.51042,0.87789,0.60619,0.75584,0.68941,0.60259,0.42963,0.54826,0.85678,0.002674,0.002674,0.002674
150,5732.73,0.58555,0.5087,0.87876,0.70817,0.69263,0.68565,0.60063,0.43263,0.56223,0.85815,0.0026245,0.0026245,0.0026245
151,5772.95,0.57927,0.51093,0.87597,0.57209,0.79556,0.68874,0.60798,0.43099,0.5605,0.85804,0.002575,0.002575,0.002575
152,5811.77,0.58215,0.50208,0.87534,0.61353,0.76995,0.68753,0.60204,0.42881,0.56341,0.85746,0.0025255,0.0025255,0.0025255
153,5850.5,0.58617,0.51083,0.87801,0.6728,0.72098,0.69331,0.61113,0.42611,0.57392,0.85561,0.002476,0.002476,0.002476
154,5889.79,0.57423,0.49967,0.87743,0.71908,0.71007,0.69669,0.61388,0.42452,0.57544,0.85509,0.0024265,0.0024265,0.0024265
155,5928.47,0.58094,0.50501,0.87556,0.75073,0.72276,0.70806,0.61821,0.42883,0.55387,0.85634,0.002377,0.002377,0.002377
156,5967.58,0.57721,0.50429,0.87511,0.7671,0.7156,0.70591,0.62061,0.41973,0.55358,0.85177,0.0023275,0.0023275,0.0023275
157,6006.26,0.5715,0.50163,0.87322,0.73425,0.70518,0.69708,0.61091,0.4239,0.56494,0.85229,0.002278,0.002278,0.002278
158,6045.23,0.57225,0.49713,0.8733,0.64414,0.74198,0.69329,0.60426,0.4287,0.55813,0.85532,0.0022285,0.0022285,0.0022285
159,6084.19,0.57415,0.49495,0.87547,0.75965,0.69668,0.69836,0.61245,0.42538,0.5614,0.85298,0.002179,0.002179,0.002179
160,6122.46,0.57641,0.49921,0.87464,0.66947,0.7267,0.69015,0.60191,0.42958,0.55809,0.85535,0.0021295,0.0021295,0.0021295
161,6162.58,0.57695,0.49872,0.87522,0.77424,0.68585,0.69991,0.60622,0.43234,0.5582,0.8565,0.00208,0.00208,0.00208
162,6202.54,0.5714,0.49472,0.87679,0.636,0.75853,0.70145,0.6127,0.42627,0.55203,0.85558,0.0020305,0.0020305,0.0020305
163,6243.12,0.56164,0.48926,0.87117,0.77425,0.69825,0.69873,0.61099,0.42722,0.55788,0.85644,0.001981,0.001981,0.001981
164,6283.28,0.5707,0.48523,0.87546,0.74556,0.69091,0.697,0.60628,0.42608,0.56385,0.8571,0.0019315,0.0019315,0.0019315
165,6321.6,0.56655,0.48897,0.87134,0.76672,0.6955,0.69606,0.60462,0.42603,0.56189,0.85679,0.001882,0.001882,0.001882
166,6358.68,0.57218,0.48523,0.87299,0.65141,0.72583,0.69903,0.60808,0.42493,0.54989,0.85562,0.0018325,0.0018325,0.0018325
167,6397.7,0.56849,0.48561,0.87604,0.59178,0.77497,0.69619,0.60782,0.42583,0.55608,0.8552,0.001783,0.001783,0.001783
168,6436.66,0.56992,0.48852,0.87291,0.60501,0.75457,0.69778,0.60368,0.43011,0.56138,0.85737,0.0017335,0.0017335,0.0017335
169,6475.69,0.56587,0.48066,0.87269,0.61471,0.73406,0.69105,0.60046,0.42728,0.56181,0.85637,0.001684,0.001684,0.001684
170,6515.37,0.56682,0.4829,0.87323,0.637,0.73805,0.68815,0.59926,0.4267,0.56264,0.85767,0.0016345,0.0016345,0.0016345
171,6555.69,0.561,0.48315,0.87126,0.69157,0.68102,0.6841,0.59375,0.42622,0.56068,0.85755,0.001585,0.001585,0.001585
172,6595.12,0.56331,0.48428,0.87213,0.60654,0.75578,0.68997,0.60028,0.42493,0.55734,0.85801,0.0015355,0.0015355,0.0015355
173,6634.8,0.5616,0.47987,0.87118,0.6092,0.74423,0.6851,0.59435,0.42535,0.56379,0.85675,0.001486,0.001486,0.001486
174,6673.88,0.5687,0.48369,0.87393,0.61689,0.76342,0.69157,0.60277,0.42302,0.55153,0.85589,0.0014365,0.0014365,0.0014365
175,6712.72,0.55279,0.47632,0.87049,0.62184,0.76647,0.69576,0.60612,0.42388,0.54786,0.85538,0.001387,0.001387,0.001387
176,6751.75,0.56999,0.47683,0.87454,0.6183,0.76706,0.69787,0.60707,0.42409,0.54593,0.85529,0.0013375,0.0013375,0.0013375
177,6790.75,0.55239,0.46983,0.86911,0.6221,0.74196,0.6923,0.60171,0.42187,0.55442,0.85512,0.001288,0.001288,0.001288
178,6829.67,0.54988,0.46802,0.86519,0.62328,0.7672,0.69803,0.61085,0.41974,0.55161,0.85464,0.0012385,0.0012385,0.0012385
179,6869.08,0.55338,0.46767,0.86751,0.6038,0.77552,0.69306,0.60417,0.42349,0.55997,0.85647,0.001189,0.001189,0.001189
180,6908.72,0.55771,0.47847,0.86733,0.59849,0.77215,0.6926,0.60297,0.42489,0.56359,0.85784,0.0011395,0.0011395,0.0011395
181,6948.02,0.554,0.47248,0.86928,0.60166,0.76248,0.69475,0.60703,0.4249,0.56023,0.85774,0.00109,0.00109,0.00109
182,6987.69,0.55826,0.47886,0.86894,0.60389,0.76704,0.69673,0.61055,0.4234,0.56001,0.85722,0.0010405,0.0010405,0.0010405
183,7027.11,0.54603,0.46731,0.86501,0.61423,0.77091,0.70386,0.61599,0.42281,0.5567,0.85651,0.000991,0.000991,0.000991
184,7066.57,0.55495,0.46025,0.86651,0.61294,0.78474,0.70013,0.61545,0.42187,0.56074,0.85637,0.0009415,0.0009415,0.0009415
